"날짜","파키스탄 DAU","이집트 DAU","터키 DAU","러시아 DAU","우즈베키스탄 DAU","인도네시아 DAU","사우디 아라비아 DAU","베트남 DAU","미국 DAU"
"2025-06-15","3247196","2834160","1754145","1710440","842790","884494","531210","711624","603464"
"2025-06-16","2981119","2984653","1759766","1713381","789772","970532","611529","839232","639755"
"2025-06-17","3119410","2873087","1687213","1670185","773214","1032673","527824","943520","561231"
"2025-06-18","3325800","2936955","1697412","1723355","851018","954133","613670","726930","553006"
"2025-06-19","3218884","2822066","1687397","1690288","764098","928035","564099","961753","494468"
"2025-06-20","3430106","2985961","1741382","1789209","760025","818657","586547","748020","446924"
"2025-06-21","3350899","2820711","1729792","1658827","725713","947509","513639","967537","413599"
"2025-06-22","3259078","2842205","1755319","1756108","774406","882873","544496","856353","447852"
"2025-06-23","3077547","2892316","1755130","1735993","725778","817073","540007","718645","472121"
"2025-06-24","3103335","2843513","1740167","1896420","751365","681270","565584","844464","474254"
"2025-06-25","2894203","3003113","1717514","1906919","792440","874427","558367","735247","485873"
"2025-06-26","3307510","3054800","1682360","2084856","784010","838770","585852","667294","492356"
"2025-06-27","3237188","3069066","1724352","2203714","814274","880207","618870","954774","505535"
"2025-06-28","3315954","2985920","1824700","2058616","806564","897875","545662","829834","524495"
"2025-06-29","3241321","2970930","1880357","2274160","823174","953121","632969","958270","562850"
"2025-06-30","3039023","2856912","1649162","2251046","769341","850714","494473","810483","564538"
"2025-07-01","3182419","2935233","1717102","2300448","778577","757865","552711","798540","537048"
"2025-07-02","3013830","3023582","1675080","2307763","751056","842666","524705","957314","510415"
"2025-07-03","3007006","3134662","1738621","2248118","744164","839407","600544","893258","519928"
"2025-07-04","3238187","3219847","1805287","2293877","862340","881293","680096","1020985","565873"
"2025-07-05","3584779","3152582","1744518","2371106","906692","797478","534428","832274","522821"
"2025-07-06","3585173","3035263","1789379","2216793","877486","730204","497985","662220","498993"
"2025-07-07","3345921","2769497","1839441","2208890","888173","772480","544897","716002","446934"
"2025-07-08","3646594","3034542","1905017","2517671","1007308","774813","601953","681079","458872"
"2025-07-09","3680812","2958951","1961733","2822549","1001339","727715","580971","664863","504376"
"2025-07-10","3668413","3293336","2002172","2738820","1076478","761723","559688","723790","519790"
"2025-07-11","3713522","3537660","1909749","2787382","1056339","714835","654676","774783","521733"
"2025-07-12","3921366","3504489","1990961","2700014","1099328","799123","510806","688750","550722"
"2025-07-13","3593019","3590515","1993825","2691081","1113022","903097","571871","886155","524137"
"2025-07-14","3520979","3287707","1850436","2640064","1012709","876511","548223","724769","509727"
"2025-07-15","3649440","3278284","1840213","2673176","995665","855862","621175","747397","482299"
"2025-07-16","3498541","3338842","1845883","2634810","977676","858095","623810","747559","503751"
"2025-07-17","3349716","3297801","1886761","2640473","1040630","901154","653584","642675","485110"
"2025-07-18","3342915","3498271","1839920","2595081","1017670","854341","691557","666027","509741"
"2025-07-19","3456829","3526605","1816152","2514454","1051903","920325","680889","810832","474630"
"2025-07-20","3380753","3295161","1862923","2557004","989545","858509","722290","747102","478765"
"2025-07-21","3145498","3308780","1873469","2494913","962109","829470","722084","649854","468482"
"2025-07-22","3315089","3192188","1808045","2506844","957469","794439","663978","672940","472736"
"2025-07-23","3147045","3184797","1843437","2450955","920973","820952","637326","658719","461483"
"2025-07-24","3284218","3367842","1801126","2406387","976448","794795","715561","750170","465829"
"2025-07-25","3379254","3389003","1844441","2509648","939592","764529","701661","703264","493253"
"2025-07-26","3520390","3313294","1840390","2378360","1019897","863984","720125","791366","485607"
"2025-07-27","3378468","3184743","1885908","2408972","934618","824372","772592","831740","480814"
"2025-07-28","3292809","3217267","1848821","2372187","929024","764954","544669","717106","484940"
"2025-07-29","3204502","3308442","1856051","2396879","904507","762271","750379","635391","504803"
"2025-07-30","3190271","3251511","1709417","2391968","942106","829015","696589","568963","486296"
"2025-07-31","3485007","3221275","1749843","2231325","918378","878751","694633","515884","500525"
"2025-08-01","3152275","3388461","1802161","2309843","914756","722768","832392","576178","502242"
"2025-08-02","3292541","3110211","1831071","2305214","1017639","788904","761527","649526","476315"
"2025-08-03","3458563","3292976","1764993","2263542","1043228","794860","702708","555375","457077"
"2025-08-04","3102861","3197466","1623177","2320263","974215","843437","688509","574084","451709"
"2025-08-05","3165078","3154280","1716865","2319886","1165037","801283","669558","551758","444901"
"2025-08-06","3092746","3123733","1808825","2241741","997793","809957","614697","600640","432976"
"2025-08-07","3107108","3205268","1762329","2248808","1010676","823477","743432","543732","454687"
"2025-08-08","3459733","3352200","1763438","2307802","1070938","842138","656147","627731","461255"
"2025-08-09","3705024","3042903","1771030","2293925","1146409","824553","585452","698311","471174"
"2025-08-10","3526489","3140374","1829161","2224848","1032956","833979","565655","670304","485239"
"2025-08-11","3051902","3002462","1830236","2192049","1004611","904455","604574","644103","529480"
"2025-08-12","3250753","3051648","1766081","2154847","946479","808030","539302","652467","540979"
"2025-08-13","3287432","3085635","1670867","2110403","1046239","845209","549529","595996","579602"
"2025-08-14","3599112","3125798","1728775","2013663","1080468","768659","698173","635502","619489"
"2025-08-15","3325030","3169216","1761278","2089666","936385","809008","606329","643663","618757"
"2025-08-16","3419766","3122495","1714970","1993070","987582","931193","557940","643744","637161"
"2025-08-17","3527014","2969776","1737611","2125906","996115","921517","597078","542770","662089"
"2025-08-18","3036046","2838724","1772418","2048251","929877","913039","587166","568951","622793"
"2025-08-19","2970878","2814502","1754647","2037330","988809","752087","570001","493445","537366"
"2025-08-20","3152584","2959124","1647132","2026243","990986","793355","543485","496023","557403"
