"날짜","인도네시아 DAU","베트남 DAU","브라질 DAU","멕시코 DAU","파키스탄 DAU","태국 DAU","알제리 DAU","콜롬비아 DAU","페루 DAU"
"2025-07-12","11145230","10668512","6251222","5551372","4332793","3138633","2482697","1740672","1473760"
"2025-07-13","10544463","10810010","6573605","5347580","4498476","2414230","2458535","1762727","1665946"
"2025-07-14","9899570","9277980","5526007","5242695","4230608","2563661","2566458","1662059","1291276"
"2025-07-15","9173786","9292707","5766873","5574287","4483531","2488933","2454473","1569694","1295706"
"2025-07-16","9689120","9080232","5741702","5843945","4411166","2702817","2624509","1613298","1143831"
"2025-07-17","9491929","9802107","5625952","5675590","4546095","2955371","2617627","1692057","1364836"
"2025-07-18","9967841","10482575","5820618","5652073","4876015","3038558","2654716","1627426","1344118"
"2025-07-19","11514761","8992304","6339366","5890960","4817399","2701251","2672090","1812599","1480917"
"2025-07-20","10957620","9533724","6202944","6231002","4723414","2565404","2560054","1893319","1533609"
"2025-07-21","9458385","9029681","5759351","5948692","4350797","2809254","2478436","1696150","1477482"
"2025-07-22","9783230","9018592","5566547","5580285","4498926","2715611","2435856","1580493","1472649"
"2025-07-23","9462478","8873459","5532442","5800025","4424535","2785092","2573001","1727258","1818916"
"2025-07-24","9953502","8883601","6036562","5915152","4341234","2622331","2533820","1800942","1576003"
"2025-07-25","10883207","9482944","5744407","5833591","4602754","2757428","2611278","1850042","1594720"
"2025-07-26","11449482","9356234","6062059","6170760","4800096","3065520","2828438","1704992","1668131"
"2025-07-27","10240638","9533688","6109832","5532625","4781209","2708325","2483645","1817426","1743154"
"2025-07-28","8999149","8315992","5612842","5822438","4290272","2774920","2425689","1831475","1756214"
"2025-07-29","8374966","9475383","5677202","5393982","4390170","2219914","2549827","1750034","1807185"
"2025-07-30","9989763","9687613","7059592","6666581","4873382","2591506","2734693","1905956","1643092"
"2025-07-31","10410182","9846082","7042860","6330139","4916883","2445415","2886800","2052031","1842685"
"2025-08-01","10611666","9592032","6990478","6385284","4857766","2917381","3214588","2127444","1688187"
"2025-08-02","11828672","10182660","7786848","6795179","5060189","3134238","3029310","2310974","1666707"
"2025-08-03","11314776","10259049","8340706","6334124","4962757","2692831","3016517","2304476","1776441"
"2025-08-04","9286742","10240172","6639291","6129797","4520508","2602088","2674235","2005059","1677233"
"2025-08-05","9403686","10155467","6745208","6134475","4502800","2178058","2792945","2019974","1810400"
"2025-08-06","8918304","10246463","6078104","5693546","4450293","2264299","2943542","2026621","1781308"
"2025-08-07","9484394","9350710","6226406","5756491","4668314","2340847","2720459","2132855","1686368"
"2025-08-08","10056094","9435488","6519382","6281464","4725241","2834217","2989455","2007618","1641497"
"2025-08-09","10614757","9868276","6998223","5855207","4874250","2604381","2723286","1833041","1574464"
"2025-08-10","9978028","9962428","7379479","6025709","4943619","2991185","2679255","2203756","1685902"
"2025-08-11","8651364","9511477","5929972","5715473","4389251","2946881","2975571","2119195","1346225"
"2025-08-12","8951593","9575827","6241626","5694793","4601695","2296594","2951620","1891791","1568914"
"2025-08-13","8599506","10000805","6069923","5975643","4579031","2215336","2826256","1886177","1509725"
"2025-08-14","9385122","9870453","5941130","5635363","4858478","2286785","2833092","1646148","1386481"
"2025-08-15","9542387","10059124","6057288","5615071","4969651","2539292","2871735","1895048","1365232"
"2025-08-16","9537612","9888027","6841100","5644614","4912084","2485309","2599692","1785300","1558274"
"2025-08-17","10310004","10229645","7157534","5888665","4987194","2537719","2780251","2104193","1620690"
"2025-08-18","9579529","10099467","5579059","5215790","4374713","2093963","2617904","1931151","1317653"
"2025-08-19","8856338","9922260","5459050","5758326","4687858","2266730","2537711","1731144","1271757"
"2025-08-20","8906873","8729399","5448715","5585856","4797073","2540724","2696740","1739535","1278116"
"2025-08-21","8885429","9028962","5470503","5247656","4384680","2298464","2802798","1609520","1422860"
"2025-08-22","9392519","8602789","6009451","5629927","4768416","2210666","2748082","1681373","1252804"
"2025-08-23","9408504","9103127","6168945","6014268","4788801","2726419","2660089","1869511","1548028"
"2025-08-24","10032769","9242812","6322551","5812012","5012067","2298915","2703302","1873031","1589726"
"2025-08-25","9275275","8279106","4857058","5496718","4405033","1954250","2706061","1528684","1373275"
"2025-08-26","8842210","9482045","5022881","5365631","4474110","2105121","2892964","1527237","1269860"
"2025-08-27","9548531","9330374","4959019","5452279","4424512","1996587","2694342","1540048","1211922"
"2025-08-28","9132321","8838089","5089058","5274164","4363608","2233904","2710452","1506978","1347667"
"2025-08-29","9501495","10120043","5172780","5478639","4804337","2429283","2797525","1508421","1210026"
"2025-08-30","9960219","10860395","5901506","5325597","4816630","2826162","2626069","1685101","1566549"
"2025-08-31","9197657","10786052","6147494","5572973","4552006","3033367","2503399","1643762","1652281"
"2025-09-01","8999529","10473387","5304498","5196216","4585797","2496591","2681732","1554140","1278444"
"2025-09-02","8719005","10570811","4953326","4492736","4143023","2537969","2625640","1468341","1185827"
"2025-09-03","8488979","8998327","4780713","4046651","4404616","2346432","2720788","1461428","1075327"
"2025-09-04","9148397","8613642","5298928","4251407","4443095","2423781","2646044","1471478","1371222"
"2025-09-05","10162425","8604399","5079806","4519944","5148516","2491662","2780986","1481557","1402251"
"2025-09-06","10108679","9624424","6077697","4806227","5224161","2569772","2672065","1562230","1595223"
"2025-09-07","8973540","8415467","5909309","4586954","4927002","2348002","2600137","1596281","1757227"
"2025-09-08","8345288","7080439","5263276","4468947","4496746","2186700","2634963","1423856","1378476"
"2025-09-09","8795736","5944188","4989383","4058581","4245496","2127481","2611863","1409601","1386369"
"2025-09-10","8886780","6574191","5050595","4204342","4406559","2029200","2602534","1480195","1323531"
"2025-09-11","9443940","6953186","5042230","3968263","4170014","2192841","2447473","1501240","1355957"
"2025-09-12","9407264","6994718","5077160","4370025","4472024","2598702","2842898","1477471","1386176"
"2025-09-13","10152159","7853244","5769746","4428891","4752815","2541232","2505505","1605672","1454660"
"2025-09-14","9432545","8306921","5909629","4842795","4697238","2310263","2501484","1640705","1776829"
"2025-09-15","8944131","7455482","4612704","4447624","4268581","1999710","2486741","1303876","1240010"
"2025-09-16","8875112","6789191","4615428","5237714","4263990","1923740","2635922","1506744","1348113"
"2025-09-17","9129321","6783045","4923444","4173733","4272070","1739481","2327534","1276856","1104352"
"2025-09-18","8774257","6954540","5028506","4248712","4254416","2130545","2356410","1304219","1279081"
"2025-09-19","9902605","7146243","5220120","4152565","4606956","2465014","2490676","1529213","1139458"
"2025-09-20","10087629","8103918","5887231","4696821","4755768","2226725","2235425","1498298","1501969"
"2025-09-21","9512870","8522468","6650095","4630671","5011389","1807206","2084798","1373774","1384553"
"2025-09-22","8793833","6367588","5199460","4260739","4205199","2023184","1788376","1400849","1121974"
"2025-09-23","8505348","6480900","4541368","3975878","4177187","2020335","1893601","1488911","1251186"
"2025-09-24","8859540","6047210","4928558","5030375","3904595","1828062","1865868","1683140","1528147"
"2025-09-25","9146082","7139780","5145682","5605781","4160127","1923658","1928058","1769743","1575715"
"2025-09-26","10222952","6914661","5208658","6234336","4392382","2376215","2241554","1739733","1488322"
"2025-09-27","10357479","8244535","5697067","6139976","4536080","2729054","2246569","1872120","1652732"
